date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1985-01-29,1277.719971,1295.48999,1266.890015,1292.619995,1292.619995,13560000,13560000,14.90002,1.166,1285.0,"January 29, 85",0.01166
1985-01-30,1297.369995,1305.099976,1278.930054,1287.880005,1287.880005,16820000,16820000,-9.48999,-0.731,1290.63668,"January 30, 85",-0.00731
1985-01-31,1283.23999,1293.400024,1272.640015,1286.77002,1286.77002,14070000,14070000,3.53003,0.275,1284.27002,"January 31, 85",0.00275
1985-02-01,1276.939941,1286.109985,1269.77002,1277.719971,1277.719971,10980000,10980000,0.78003,0.061,1277.86666,"February 01, 85",0.00061
1985-02-04,1272.079956,1294.939941,1268.98999,1290.079956,1290.079956,11630000,11630000,18.0,1.415,1284.66996,"February 04, 85",0.01415
1985-02-05,1294.060059,1301.130005,1278.599976,1285.22998,1285.22998,13800000,13800000,-8.83008,-0.682,1288.31999,"February 05, 85",-0.00682
1985-02-06,1284.890015,1294.5,1275.069946,1280.589966,1280.589966,14610000,14610000,-4.30005,-0.335,1283.38664,"February 06, 85",-0.00335
1985-02-07,1285.0,1297.040039,1279.810059,1290.079956,1290.079956,11440000,11440000,5.07996,0.395,1288.97668,"February 07, 85",0.00395
1985-02-08,1290.079956,1297.150024,1281.359985,1289.969971,1289.969971,8000000,8000000,-0.10999,-0.009,1289.49333,"February 08, 85",-9e-05
1985-02-11,1287.98999,1291.73999,1268.660034,1276.060059,1276.060059,12600000,12600000,-11.92993,-0.926,1278.82003,"February 11, 85",-0.00926
1985-02-12,1271.199951,1283.130005,1266.339966,1276.609985,1276.609985,11870000,11870000,5.41003,0.426,1275.35999,"February 12, 85",0.00426
1985-02-13,1277.829956,1304.660034,1274.51001,1297.920044,1297.920044,14050000,14050000,20.09009,1.572,1292.36336,"February 13, 85",0.01572
1985-02-14,1301.790039,1307.530029,1283.680054,1287.880005,1287.880005,14020000,14020000,-13.91003,-1.069,1293.03003,"February 14, 85",-0.01069
1985-02-15,1289.199951,1296.27002,1275.069946,1282.02002,1282.02002,8730000,8730000,-7.17993,-0.557,1284.45333,"February 15, 85",-0.00557
1985-02-19,1279.810059,1287.430054,1273.52002,1280.589966,1280.589966,6690000,6690000,0.77991,0.061,1280.51335,"February 19, 85",0.00061
1985-02-20,1280.150024,1292.51001,1272.530029,1283.130005,1283.130005,10760000,10760000,2.97998,0.233,1282.72335,"February 20, 85",0.00233
1985-02-21,1280.369995,1287.099976,1272.640015,1279.040039,1279.040039,8600000,8600000,-1.32996,-0.104,1279.59334,"February 21, 85",-0.00104
1985-02-22,1277.939941,1286.550049,1269.98999,1275.839966,1275.839966,8500000,8500000,-2.09998,-0.164,1277.46,"February 22, 85",-0.00164
1985-02-25,1269.98999,1283.130005,1263.910034,1277.5,1277.5,8420000,8420000,7.51001,0.591,1274.84668,"February 25, 85",0.00591
1985-02-26,1276.280029,1293.180054,1272.310059,1286.109985,1286.109985,11910000,11910000,9.82996,0.77,1283.8667,"February 26, 85",0.0077
1985-02-27,1285.670044,1295.27002,1274.400024,1281.030029,1281.030029,11900000,11900000,-4.64002,-0.361,1283.56669,"February 27, 85",-0.00361
1985-02-28,1278.050049,1288.319946,1271.420044,1284.01001,1284.01001,8790000,8790000,5.95996,0.466,1281.25,"February 28, 85",0.00466
1985-03-01,1285.339966,1309.959961,1282.689941,1299.359985,1299.359985,14730000,14730000,14.02002,1.091,1297.33663,"March 01, 85",0.01091
1985-03-04,1299.910034,1304.550049,1283.130005,1289.530029,1289.530029,12010000,12010000,-10.38001,-0.799,1292.40336,"March 04, 85",-0.00799
1985-03-05,1290.079956,1300.02002,1281.030029,1291.849976,1291.849976,10060000,10060000,1.77002,0.137,1290.96668,"March 05, 85",0.00137
1985-03-06,1291.849976,1296.930054,1275.51001,1280.369995,1280.369995,10990000,10990000,-11.47998,-0.889,1284.27002,"March 06, 85",-0.00889
1985-03-07,1276.829956,1283.23999,1265.459961,1271.530029,1271.530029,9870000,9870000,-5.29993,-0.415,1273.40999,"March 07, 85",-0.00415
1985-03-08,1273.410034,1280.810059,1264.130005,1269.660034,1269.660034,9120000,9120000,-3.75,-0.294,1271.53337,"March 08, 85",-0.00294
1985-03-11,1268.77002,1277.050049,1260.930054,1268.550049,1268.550049,7710000,7710000,-0.21997,-0.017,1268.84338,"March 11, 85",-0.00017
1985-03-12,1267.560059,1279.47998,1262.47998,1271.75,1271.75,8340000,8340000,4.18994,0.331,1271.23665,"March 12, 85",0.00331
1985-03-13,1270.97998,1278.27002,1257.619995,1261.699951,1261.699951,8840000,8840000,-9.28003,-0.73,1265.86332,"March 13, 85",-0.0073
1985-03-14,1258.719971,1269.209961,1254.199951,1260.050049,1260.050049,7950000,7950000,1.33008,0.106,1261.15332,"March 14, 85",0.00106
1985-03-15,1259.719971,1266.890015,1245.140015,1247.349976,1247.349976,11280000,11280000,-12.37,-0.982,1253.12667,"March 15, 85",-0.00982
1985-03-18,1252.650024,1260.930054,1242.819946,1249.670044,1249.670044,8270000,8270000,-2.97998,-0.238,1251.14001,"March 18, 85",-0.00238
1985-03-19,1249.01001,1274.180054,1245.689941,1271.089966,1271.089966,8990000,8990000,22.07996,1.768,1263.65332,"March 19, 85",0.01768
1985-03-20,1271.530029,1277.390015,1257.839966,1265.23999,1265.23999,10540000,10540000,-6.29004,-0.495,1266.82332,"March 20, 85",-0.00495
1985-03-21,1263.800049,1278.930054,1257.619995,1268.219971,1268.219971,9630000,9630000,4.41992,0.35,1268.25667,"March 21, 85",0.0035
1985-03-22,1272.420044,1277.390015,1261.699951,1267.449951,1267.449951,7800000,7800000,-4.97009,-0.391,1268.84664,"March 22, 85",-0.00391
1985-03-25,1261.699951,1268.329956,1252.869995,1259.939941,1259.939941,7930000,7930000,-1.76001,-0.139,1260.37996,"March 25, 85",-0.00139
1985-03-26,1257.069946,1267.560059,1252.099976,1259.719971,1259.719971,9520000,9520000,2.65003,0.211,1259.79334,"March 26, 85",0.00211
1985-03-27,1260.160034,1270.869995,1255.959961,1264.910034,1264.910034,8960000,8960000,4.75,0.377,1263.91333,"March 27, 85",0.00377
1985-03-28,1265.900024,1275.51001,1256.630005,1260.709961,1260.709961,8700000,8700000,-5.19006,-0.41,1264.28333,"March 28, 85",-0.0041
1985-03-29,1263.469971,1270.650024,1255.849976,1266.780029,1266.780029,9810000,9810000,3.31006,0.262,1264.42668,"March 29, 85",0.00262
1985-04-01,1264.800049,1276.280029,1260.48999,1272.75,1272.75,6930000,6930000,7.94995,0.629,1269.84001,"April 01, 85",0.00629
1985-04-02,1273.959961,1280.150024,1261.47998,1265.680054,1265.680054,8460000,8460000,-8.27991,-0.65,1269.10335,"April 02, 85",-0.0065
1985-04-03,1264.689941,1268.109985,1251.550049,1258.060059,1258.060059,9310000,9310000,-6.62988,-0.524,1259.24003,"April 03, 85",-0.00524
1985-04-04,1256.290039,1264.23999,1248.339966,1259.050049,1259.050049,6920000,6920000,2.76001,0.22,1257.21,"April 04, 85",0.0022
1985-04-08,1259.5,1267.01001,1246.02002,1252.97998,1252.97998,7940000,7940000,-6.52002,-0.518,1255.33667,"April 08, 85",-0.00518
1985-04-09,1252.209961,1262.040039,1246.579956,1253.859985,1253.859985,8010000,8010000,1.65002,0.132,1254.15999,"April 09, 85",0.00132
1985-04-10,1256.849976,1269.099976,1252.099976,1259.939941,1259.939941,9130000,9130000,3.08997,0.246,1260.37996,"April 10, 85",0.00246
1985-04-11,1265.23999,1274.849976,1257.180054,1263.689941,1263.689941,10800000,10800000,-1.55005,-0.123,1265.23999,"April 11, 85",-0.00123
1985-04-12,1263.689941,1270.430054,1257.290039,1265.680054,1265.680054,7320000,7320000,1.99011,0.157,1264.46672,"April 12, 85",0.00157
1985-04-15,1262.589966,1272.420044,1257.839966,1266.780029,1266.780029,6870000,6870000,4.19006,0.332,1265.68001,"April 15, 85",0.00332
1985-04-16,1268.109985,1276.609985,1256.959961,1269.550049,1269.550049,9870000,9870000,1.44006,0.114,1267.70667,"April 16, 85",0.00114
1985-04-17,1269.660034,1277.5,1263.469971,1272.310059,1272.310059,9120000,9120000,2.65003,0.209,1271.09334,"April 17, 85",0.00209
1985-04-18,1278.819946,1281.910034,1260.819946,1265.130005,1265.130005,11170000,11170000,-13.68994,-1.071,1269.28666,"April 18, 85",-0.01071
1985-04-19,1265.130005,1272.530029,1258.5,1266.560059,1266.560059,8740000,8740000,1.43005,0.113,1265.86336,"April 19, 85",0.00113
1985-04-22,1269.77002,1273.630005,1257.619995,1266.560059,1266.560059,7080000,7080000,-3.20996,-0.253,1265.93669,"April 22, 85",-0.00253
1985-04-23,1265.349976,1282.910034,1261.150024,1278.709961,1278.709961,10790000,10790000,13.35999,1.056,1274.25667,"April 23, 85",0.01056
1985-04-24,1279.48999,1286.439941,1269.880005,1278.48999,1278.48999,8510000,8510000,-1.0,-0.078,1278.26998,"April 24, 85",-0.00078
1985-04-25,1276.829956,1289.199951,1272.530029,1284.780029,1284.780029,9620000,9620000,7.95007,0.623,1282.17,"April 25, 85",0.00623
1985-04-26,1286.219971,1290.300049,1270.540039,1275.180054,1275.180054,8930000,8930000,-11.03992,-0.858,1278.67338,"April 26, 85",-0.00858
1985-04-29,1272.859985,1277.939941,1257.400024,1259.719971,1259.719971,9200000,9200000,-13.14001,-1.032,1265.01998,"April 29, 85",-0.01032
1985-04-30,1256.73999,1266.22998,1245.800049,1258.060059,1258.060059,12390000,12390000,1.32007,0.105,1256.6967,"April 30, 85",0.00105
1985-05-01,1257.180054,1262.810059,1239.069946,1242.050049,1242.050049,10050000,10050000,-15.13001,-1.203,1247.97668,"May 01, 85",-0.01203
