date,HYG
2025-12-23,80.475
2025-12-22,80.43
2025-12-19,80.36
2025-12-18,80.4
2025-12-17,80.18
2025-12-16,80.28
2025-12-15,80.23
2025-12-12,80.19
2025-12-11,80.34
2025-12-10,80.35
2025-12-09,80.08
2025-12-08,80.17
2025-12-05,80.37
2025-12-04,80.37
2025-12-03,80.31
2025-12-02,80.24
2025-12-01,80.09
2025-11-28,80.24
2025-11-26,80.2
2025-11-25,80.12
2025-11-24,79.84
2025-11-21,79.63
2025-11-20,79.36
2025-11-19,79.41
2025-11-18,79.37
2025-11-17,79.35
2025-11-14,79.48
2025-11-13,79.46
2025-11-12,79.78
2025-11-11,79.94
2025-11-10,79.85
2025-11-07,79.59
2025-11-06,79.52
2025-11-05,79.49
2025-11-04,79.41
2025-11-03,79.4
2025-10-31,79.65
2025-10-30,79.65
2025-10-29,79.8
2025-10-28,80.04
2025-10-27,80.12
2025-10-24,79.93
2025-10-23,79.71
2025-10-22,79.53
2025-10-21,79.61
2025-10-20,79.73
2025-10-17,79.57
2025-10-16,79.36
2025-10-15,79.65
2025-10-14,79.39
2025-10-13,79.31
2025-10-10,78.81
2025-10-09,79.28
2025-10-08,79.5
2025-10-07,79.62
2025-10-06,79.71
2025-10-03,79.69
2025-10-02,79.78
2025-10-01,79.81
2025-09-30,79.66
2025-09-29,79.69
2025-09-26,79.55
2025-09-25,79.4
2025-09-24,79.62
2025-09-23,79.73
2025-09-22,79.79
2025-09-19,79.73
2025-09-18,79.7
2025-09-17,79.52
2025-09-16,79.6
2025-09-15,79.66
2025-09-12,79.43
2025-09-11,79.51
2025-09-10,79.32
2025-09-09,79.26
2025-09-08,79.35
2025-09-05,79.35
2025-09-04,79.31
2025-09-03,79.09
2025-09-02,78.88
2025-08-29,78.96
2025-08-28,79.11
2025-08-27,79.07
2025-08-26,78.97
2025-08-25,78.79
2025-08-22,78.95
2025-08-21,78.32
2025-08-20,78.46
2025-08-19,78.49
2025-08-18,78.51
2025-08-15,78.57
2025-08-14,78.51
2025-08-13,78.72
2025-08-12,78.51
2025-08-11,78.33
2025-08-08,78.33
2025-08-07,78.33
2025-08-06,78.4
2025-08-05,78.33
2025-08-04,78.36
2025-08-01,78.1
2025-07-31,78.1
2025-07-30,78.05
2025-07-29,78.22
2025-07-28,78.17
2025-07-25,78.21
2025-07-24,78.16
2025-07-23,78.26
2025-07-22,78.22
2025-07-21,78.08
2025-07-18,77.97
2025-07-17,77.87
2025-07-16,77.79
2025-07-15,77.58
2025-07-14,77.82
2025-07-11,77.76
2025-07-10,77.86
2025-07-09,77.93
2025-07-08,77.72
2025-07-07,77.83
2025-07-03,78.09
2025-07-02,78.04
2025-07-01,77.9
2025-06-30,77.99
2025-06-27,77.69
2025-06-26,77.73
2025-06-25,77.51
2025-06-24,77.53
2025-06-23,77.31
2025-06-20,77.17
2025-06-18,76.93
2025-06-17,76.81
2025-06-16,76.9
2025-06-13,76.74
2025-06-12,76.97
2025-06-11,76.89
2025-06-10,76.91
2025-06-09,76.72
2025-06-06,76.68
2025-06-05,76.69
