date,MBB
2025-12-23,95.1256
2025-12-22,95.09
2025-12-19,95.09
2025-12-18,95.24
2025-12-17,94.98
2025-12-16,94.95
2025-12-15,94.75
2025-12-12,94.62
2025-12-11,94.96
2025-12-10,94.9
2025-12-09,94.49
2025-12-08,94.57
2025-12-05,94.81
2025-12-04,94.83
2025-12-03,95.1
2025-12-02,94.92
2025-12-01,94.75
2025-11-28,95.09
2025-11-26,95.3
2025-11-25,95.24
2025-11-24,94.96
2025-11-21,94.81
2025-11-20,94.51
2025-11-19,94.4
2025-11-18,94.39
2025-11-17,94.34
2025-11-14,94.4
2025-11-13,94.48
2025-11-12,94.83
2025-11-11,94.97
2025-11-10,94.61
2025-11-07,94.72
2025-11-06,94.63
2025-11-05,94.27
2025-11-04,94.57
2025-11-03,94.43
2025-10-31,94.53
2025-10-30,94.48
2025-10-29,94.57
2025-10-28,95.2
2025-10-27,95.1
2025-10-24,95.01
2025-10-23,94.83
2025-10-22,95.02
2025-10-21,95.09
2025-10-20,94.94
2025-10-17,94.86
2025-10-16,94.87
2025-10-15,94.51
2025-10-14,94.52
2025-10-13,94.44
2025-10-10,94.26
2025-10-09,93.91
2025-10-08,94.11
2025-10-07,94.08
2025-10-06,93.89
2025-10-03,94.07
2025-10-02,94.22
2025-10-01,94.1
2025-09-30,93.8
2025-09-29,93.84
2025-09-26,93.64
2025-09-25,93.62
2025-09-24,93.77
2025-09-23,93.96
2025-09-22,93.65
2025-09-19,93.84
2025-09-18,93.68
2025-09-17,94.09
2025-09-16,94.33
2025-09-15,94.37
2025-09-12,94.07
2025-09-11,94.11
2025-09-10,93.94
2025-09-09,93.75
2025-09-08,93.96
2025-09-05,93.54
2025-09-04,93.09
2025-09-03,92.62
2025-09-02,92.32
2025-08-29,92.68
2025-08-28,92.68
2025-08-27,92.57
2025-08-26,92.44
2025-08-25,92.2
2025-08-22,92.41
2025-08-21,91.85
2025-08-20,91.99
2025-08-19,91.85
2025-08-18,91.78
2025-08-15,91.92
2025-08-14,91.96
2025-08-13,92.28
2025-08-12,91.95
2025-08-11,91.9
2025-08-08,91.9
2025-08-07,92.05
2025-08-06,92.17
2025-08-05,92.17
2025-08-04,92.11
2025-08-01,92.06
2025-07-31,91.1
2025-07-30,91.16
2025-07-29,91.42
2025-07-28,90.95
2025-07-25,91.16
2025-07-24,90.95
2025-07-23,90.99
2025-07-22,91.34
2025-07-21,91.09
2025-07-18,90.84
2025-07-17,90.71
2025-07-16,90.66
2025-07-15,90.5
2025-07-14,90.75
2025-07-11,90.89
2025-07-10,91.27
2025-07-09,91.32
2025-07-08,90.86
2025-07-07,90.82
2025-07-03,91.14
2025-07-02,91.44
2025-07-01,91.49
2025-06-30,91.58
2025-06-27,91.23
2025-06-26,91.59
2025-06-25,91.24
2025-06-24,91.22
2025-06-23,90.75
2025-06-20,90.53
2025-06-18,90.46
2025-06-17,90.42
2025-06-16,90.15
2025-06-13,90.26
2025-06-12,90.71
2025-06-11,90.33
2025-06-10,90.0
2025-06-09,89.72
2025-06-06,89.49
2025-06-05,89.97
2025-06-04,90.3
2025-06-03,89.71
2025-06-02,89.76
2025-05-30,90.05
2025-05-29,89.84
2025-05-28,89.48
2025-05-27,89.56
2025-05-23,89.24
2025-05-22,89.01
2025-05-21,88.85
2025-05-20,89.47
2025-05-19,89.72
2025-05-16,89.78
2025-05-15,89.74
2025-05-14,89.09
2025-05-13,89.49
2025-05-12,89.57
2025-05-09,90.08
2025-05-08,89.89
2025-05-07,90.44
2025-05-06,90.2
2025-05-05,89.82
2025-05-02,90.02
2025-05-01,90.52
2025-04-30,90.84
2025-04-29,90.81
2025-04-28,90.57
2025-04-25,90.34
2025-04-24,89.99
2025-04-23,89.47
2025-04-22,89.18
2025-04-21,88.95
2025-04-17,89.57
2025-04-16,89.87
2025-04-15,89.7
