date,MUB
2025-12-23,106.82
2025-12-22,106.73
2025-12-19,106.71
2025-12-18,106.73
2025-12-17,106.67
2025-12-16,106.7
2025-12-15,106.55
2025-12-12,106.56
2025-12-11,106.68
2025-12-10,106.68
2025-12-09,106.51
2025-12-08,106.56
2025-12-05,106.62
2025-12-04,106.57
2025-12-03,106.58
2025-12-02,106.53
2025-12-01,106.58
2025-11-28,106.86
2025-11-26,106.83
2025-11-25,106.68
2025-11-24,106.63
2025-11-21,106.58
2025-11-20,106.54
2025-11-19,106.47
2025-11-18,106.63
2025-11-17,106.51
2025-11-14,106.39
2025-11-13,106.61
2025-11-12,106.79
2025-11-11,106.96
2025-11-10,106.69
2025-11-07,106.64
2025-11-06,106.65
2025-11-05,106.41
2025-11-04,106.65
2025-11-03,106.48
2025-10-31,106.63
2025-10-30,106.51
2025-10-29,106.55
2025-10-28,106.7
2025-10-27,106.76
2025-10-24,106.75
2025-10-23,106.68
2025-10-22,106.75
2025-10-21,106.73
2025-10-20,106.66
2025-10-17,106.57
2025-10-16,106.57
2025-10-15,106.25
2025-10-14,106.1
2025-10-13,106.16
2025-10-10,106.0
2025-10-09,105.72
2025-10-08,105.73
2025-10-07,105.7
2025-10-06,105.62
2025-10-03,105.54
2025-10-02,105.52
2025-10-01,105.55
2025-09-30,105.36
2025-09-29,105.29
2025-09-26,105.13
2025-09-25,105.12
2025-09-24,105.22
2025-09-23,105.3
2025-09-22,105.35
2025-09-19,105.34
2025-09-18,105.45
2025-09-17,105.53
2025-09-16,105.55
2025-09-15,105.5
2025-09-12,105.3
2025-09-11,105.35
2025-09-10,104.96
2025-09-09,104.55
2025-09-08,104.71
2025-09-05,104.13
2025-09-04,103.44
2025-09-03,103.12
2025-09-02,102.87
2025-08-29,103.07
2025-08-28,103.15
2025-08-27,103.05
2025-08-26,102.94
2025-08-25,102.86
2025-08-22,102.84
2025-08-21,102.53
2025-08-20,102.67
2025-08-19,102.71
2025-08-18,102.66
2025-08-15,102.67
2025-08-14,102.67
2025-08-13,102.83
2025-08-12,102.76
2025-08-11,102.76
2025-08-08,102.64
2025-08-07,102.69
2025-08-06,102.65
2025-08-05,102.79
2025-08-04,102.7
2025-08-01,102.72
2025-07-31,102.21
2025-07-30,101.97
2025-07-29,102.2
2025-07-28,101.97
2025-07-25,101.96
2025-07-24,101.84
2025-07-23,101.89
2025-07-22,101.96
2025-07-21,101.9
2025-07-18,101.59
2025-07-17,101.61
2025-07-16,101.76
2025-07-15,101.99
2025-07-14,102.17
2025-07-11,102.29
2025-07-10,102.59
2025-07-09,102.59
2025-07-08,102.47
2025-07-07,102.62
2025-07-03,102.6
2025-07-02,102.69
2025-07-01,102.62
2025-06-30,102.53
2025-06-27,102.37
2025-06-26,102.4
2025-06-25,102.25
2025-06-24,102.27
2025-06-23,102.14
2025-06-20,102.02
2025-06-18,102.03
2025-06-17,102.13
2025-06-16,102.02
2025-06-13,101.94
2025-06-12,102.16
2025-06-11,101.71
2025-06-10,101.51
2025-06-09,101.54
2025-06-06,101.27
