date,PPLT
2025-12-23,207.715
2025-12-22,191.77
2025-12-19,179.66
2025-12-18,175.34
2025-12-17,172.33
2025-12-16,167.77
2025-12-15,162.94
2025-12-12,159.03
2025-12-11,154.65
2025-12-10,150.62
2025-12-09,154.59
2025-12-08,149.94
2025-12-05,149.69
2025-12-04,150.2
2025-12-03,151.63
2025-12-02,149.7
2025-12-01,151.39
2025-11-28,152.59
2025-11-26,144.94
2025-11-25,141.35
2025-11-24,140.69
2025-11-21,137.93
2025-11-20,137.33
2025-11-19,140.54
2025-11-18,139.87
2025-11-17,139.52
2025-11-14,140.45
2025-11-13,143.6
2025-11-12,147.47
2025-11-11,144.6
2025-11-10,144.19
2025-11-07,140.66
2025-11-06,139.56
2025-11-05,141.95
2025-11-04,139.71
2025-11-03,142.23
2025-10-31,143.54
2025-10-30,146.86
2025-10-29,145.24
2025-10-28,144.68
2025-10-27,144.28
2025-10-24,146.26
2025-10-23,148.1
2025-10-22,148.28
2025-10-21,140.36
2025-10-20,149.84
2025-10-17,146.21
2025-10-16,155.64
2025-10-15,151.25
2025-10-14,149.45
2025-10-13,148.31
2025-10-10,145.79
2025-10-09,147.67
2025-10-08,152.2
2025-10-07,147.79
2025-10-06,148.17
2025-10-03,146.39
2025-10-02,142.84
2025-10-01,142.07
2025-09-30,142.88
2025-09-29,145.77
2025-09-26,143.83
2025-09-25,139.89
2025-09-24,134.43
2025-09-23,134.75
2025-09-22,129.77
2025-09-19,128.46
2025-09-18,126.15
2025-09-17,123.85
2025-09-16,126.86
2025-09-15,128.15
2025-09-12,127.53
2025-09-11,126.29
2025-09-10,126.57
2025-09-09,125.0
2025-09-08,126.16
2025-09-05,125.78
2025-09-04,125.33
2025-09-03,129.63
2025-09-02,128.08
2025-08-29,125.22
2025-08-28,124.05
2025-08-27,122.98
2025-08-26,123.22
2025-08-25,122.25
2025-08-22,123.98
2025-08-21,123.7
2025-08-20,122.2
2025-08-19,119.46
2025-08-18,121.48
2025-08-15,122.34
2025-08-14,123.78
2025-08-13,122.16
2025-08-12,121.98
2025-08-11,120.98
2025-08-08,121.13
2025-08-07,121.89
2025-08-06,121.9
2025-08-05,119.93
2025-08-04,121.07
2025-08-01,120.05
2025-07-31,117.81
2025-07-30,118.76
2025-07-29,127.4
2025-07-28,125.78
2025-07-25,127.62
2025-07-24,128.28
2025-07-23,128.81
2025-07-22,131.08
2025-07-21,131.04
