date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1987-09-10,167.440002,168.979996,167.440002,168.970001,168.970001,179800000,179800000,1.53,0.91376,168.46,"September 10, 87",0.0091376
1987-09-11,168.970001,170.539993,168.75,170.539993,170.539993,178000000,178000000,1.56999,0.92915,169.94,"September 11, 87",0.0092915
1987-09-14,170.529999,170.949997,170.149994,170.429993,170.429993,154400000,154400000,-0.100006,-0.05864423,170.51,"September 14, 87",-0.0005864423
1987-09-15,170.419998,170.440002,169.130005,169.199997,169.199997,136200000,136200000,-1.22,-0.71588,169.59,"September 15, 87",-0.0071588
1987-09-16,169.309998,170.029999,168.820007,168.919998,168.919998,195700000,195700000,-0.39,-0.23035,169.26,"September 16, 87",-0.0023035
1987-09-17,168.919998,169.25,168.539993,168.820007,168.820007,150700000,150700000,-0.099991,-0.05919429,168.87,"September 17, 87",-0.0005919429
1987-09-18,168.820007,169.039993,168.75,168.75,168.75,188100000,188100000,-0.070007,-0.04146843,168.85,"September 18, 87",-0.0004146843
1987-09-21,168.75,169.130005,167.360001,167.399994,167.399994,170100000,170100000,-1.35001,-0.8,167.96,"September 21, 87",-0.008
1987-09-22,167.399994,167.559998,166.690002,167.559998,167.559998,209500000,209500000,0.160004,0.09558184,167.27,"September 22, 87",0.0009558184
1987-09-23,167.559998,168.649994,167.550003,168.649994,168.649994,220300000,220300000,1.09,0.65051,168.28,"September 23, 87",0.0065051
1987-09-24,168.649994,169.059998,168.520004,168.720001,168.720001,162200000,162200000,0.070007,0.04151023,168.77,"September 24, 87",0.0004151023
1987-09-25,168.720001,168.850006,168.429993,168.850006,168.850006,138000000,138000000,0.130005,0.0770537,168.71,"September 25, 87",0.000770537
1987-09-28,168.839996,169.800003,168.839996,169.520004,169.520004,188100000,188100000,0.680008,0.40275,169.39,"September 28, 87",0.0040275
1987-09-29,169.520004,169.690002,168.889999,169.059998,169.059998,173500000,173500000,-0.460006,-0.27136,169.21,"September 29, 87",-0.0027136
1987-09-30,169.050003,170.809998,168.679993,170.809998,170.809998,183100000,183100000,1.76,1.04,170.1,"September 30, 87",0.0104
1987-10-01,170.820007,171.399994,170.25,171.399994,171.399994,193200000,193200000,0.579987,0.33953,171.02,"October 01, 87",0.0033953
1987-10-02,171.399994,172.089996,171.399994,172.080002,172.080002,189100000,189100000,0.680008,0.39674,171.86,"October 02, 87",0.0039674
1987-10-05,172.089996,172.550003,172.089996,172.539993,172.539993,159700000,159700000,0.449997,0.26149,172.39,"October 05, 87",0.0026149
1987-10-06,172.550003,172.619995,170.130005,170.210007,170.210007,175600000,175600000,-2.34,-1.36,170.99,"October 06, 87",-0.0136
1987-10-07,170.210007,170.210007,168.479996,168.869995,168.869995,186300000,186300000,-1.34001,-0.78727,169.19,"October 07, 87",-0.0078727
1987-10-08,168.869995,168.979996,166.779999,167.059998,167.059998,198700000,198700000,-1.81,-1.07,167.61,"October 08, 87",-0.0107
1987-10-09,167.059998,167.110001,166.009995,166.119995,166.119995,158300000,158300000,-0.940003,-0.56267,166.41,"October 09, 87",-0.0056267
1987-10-12,166.110001,166.110001,163.389999,163.860001,163.860001,141900000,141900000,-2.25,-1.35,164.45,"October 12, 87",-0.0135
1987-10-13,163.860001,164.419998,163.630005,164.139999,164.139999,172900000,172900000,0.279998,0.17088,164.06,"October 13, 87",0.0017088
1987-10-14,164.149994,164.160004,161.589996,161.789993,161.789993,207400000,207400000,-2.36,-1.44,162.51,"October 14, 87",-0.0144
