date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1927-12-30,17.66,17.66,17.66,17.66,17.66,0,0,0.0,0.0,17.66,"December 30, 27",0.0
1928-01-03,17.76,17.76,17.76,17.76,17.76,0,0,0.0,0.0,17.76,"January 03, 28",0.0
1928-01-04,17.72,17.72,17.72,17.72,17.72,0,0,0.0,0.0,17.72,"January 04, 28",0.0
1928-01-05,17.55,17.55,17.55,17.55,17.55,0,0,0.0,0.0,17.55,"January 05, 28",0.0
1928-01-06,17.66,17.66,17.66,17.66,17.66,0,0,0.0,0.0,17.66,"January 06, 28",0.0
1928-01-09,17.5,17.5,17.5,17.5,17.5,0,0,0.0,0.0,17.5,"January 09, 28",0.0
1928-01-10,17.37,17.37,17.37,17.37,17.37,0,0,0.0,0.0,17.37,"January 10, 28",0.0
1928-01-11,17.35,17.35,17.35,17.35,17.35,0,0,0.0,0.0,17.35,"January 11, 28",0.0
1928-01-12,17.47,17.47,17.47,17.47,17.47,0,0,0.0,0.0,17.47,"January 12, 28",0.0
1928-01-13,17.58,17.58,17.58,17.58,17.58,0,0,0.0,0.0,17.58,"January 13, 28",0.0
1928-01-16,17.29,17.29,17.29,17.29,17.29,0,0,0.0,0.0,17.29,"January 16, 28",0.0
1928-01-17,17.3,17.3,17.3,17.3,17.3,0,0,0.0,0.0,17.3,"January 17, 28",0.0
1928-01-18,17.26,17.26,17.26,17.26,17.26,0,0,0.0,0.0,17.26,"January 18, 28",0.0
1928-01-19,17.38,17.38,17.38,17.38,17.38,0,0,0.0,0.0,17.38,"January 19, 28",0.0
1928-01-20,17.48,17.48,17.48,17.48,17.48,0,0,0.0,0.0,17.48,"January 20, 28",0.0
1928-01-23,17.64,17.64,17.64,17.64,17.64,0,0,0.0,0.0,17.64,"January 23, 28",0.0
1928-01-24,17.71,17.71,17.71,17.71,17.71,0,0,0.0,0.0,17.71,"January 24, 28",0.0
1928-01-25,17.52,17.52,17.52,17.52,17.52,0,0,0.0,0.0,17.52,"January 25, 28",0.0
1928-01-26,17.63,17.63,17.63,17.63,17.63,0,0,0.0,0.0,17.63,"January 26, 28",0.0
1928-01-27,17.69,17.69,17.69,17.69,17.69,0,0,0.0,0.0,17.69,"January 27, 28",0.0
1928-01-30,17.49,17.49,17.49,17.49,17.49,0,0,0.0,0.0,17.49,"January 30, 28",0.0
1928-01-31,17.57,17.57,17.57,17.57,17.57,0,0,0.0,0.0,17.57,"January 31, 28",0.0
1928-02-01,17.53,17.53,17.53,17.53,17.53,0,0,0.0,0.0,17.53,"February 01, 28",0.0
1928-02-02,17.63,17.63,17.63,17.63,17.63,0,0,0.0,0.0,17.63,"February 02, 28",0.0
1928-02-03,17.4,17.4,17.4,17.4,17.4,0,0,0.0,0.0,17.4,"February 03, 28",0.0
1928-02-06,17.45,17.45,17.45,17.45,17.45,0,0,0.0,0.0,17.45,"February 06, 28",0.0
1928-02-07,17.44,17.44,17.44,17.44,17.44,0,0,0.0,0.0,17.44,"February 07, 28",0.0
1928-02-08,17.49,17.49,17.49,17.49,17.49,0,0,0.0,0.0,17.49,"February 08, 28",0.0
1928-02-09,17.55,17.55,17.55,17.55,17.55,0,0,0.0,0.0,17.55,"February 09, 28",0.0
1928-02-10,17.54,17.54,17.54,17.54,17.54,0,0,0.0,0.0,17.54,"February 10, 28",0.0
1928-02-14,17.44,17.44,17.44,17.44,17.44,0,0,0.0,0.0,17.44,"February 14, 28",0.0
1928-02-15,17.4,17.4,17.4,17.4,17.4,0,0,0.0,0.0,17.4,"February 15, 28",0.0
1928-02-16,17.35,17.35,17.35,17.35,17.35,0,0,0.0,0.0,17.35,"February 16, 28",0.0
1928-02-17,17.04,17.04,17.04,17.04,17.04,0,0,0.0,0.0,17.04,"February 17, 28",0.0
1928-02-20,16.95,16.95,16.95,16.95,16.95,0,0,0.0,0.0,16.95,"February 20, 28",0.0
