date,SHY
2025-12-23,82.688
2025-12-22,82.72
2025-12-19,82.76
2025-12-18,82.78
2025-12-17,82.72
2025-12-16,82.71
2025-12-15,82.67
2025-12-12,82.62
2025-12-11,82.61
2025-12-10,82.6
2025-12-09,82.46
2025-12-08,82.5
2025-12-05,82.52
2025-12-04,82.55
2025-12-03,82.61
2025-12-02,82.56
2025-12-01,82.51
2025-11-28,82.58
2025-11-26,82.58
2025-11-25,82.59
2025-11-24,82.54
2025-11-21,82.53
2025-11-20,82.43
2025-11-19,82.36
2025-11-18,82.37
2025-11-17,82.32
2025-11-14,82.33
2025-11-13,82.3
2025-11-12,82.35
2025-11-11,82.38
2025-11-10,82.31
2025-11-07,82.33
2025-11-06,82.29
2025-11-05,82.19
2025-11-04,82.25
2025-11-03,82.22
2025-10-31,82.22
2025-10-30,82.19
2025-10-29,82.18
2025-10-28,82.34
2025-10-27,82.33
2025-10-24,82.35
2025-10-23,82.3
2025-10-22,82.36
2025-10-21,82.36
2025-10-20,82.34
2025-10-17,82.33
2025-10-16,82.34
2025-10-15,82.23
2025-10-14,82.27
2025-10-13,82.33
2025-10-10,82.17
2025-10-09,82.03
2025-10-08,82.04
2025-10-07,82.05
2025-10-06,82.01
2025-10-03,82.03
2025-10-02,82.06
2025-10-01,82.04
2025-09-30,81.95
2025-09-29,81.91
2025-09-26,81.88
2025-09-25,81.83
2025-09-24,81.9
2025-09-23,81.94
2025-09-22,81.91
2025-09-19,81.95
2025-09-18,81.92
2025-09-17,81.95
2025-09-16,81.99
2025-09-15,81.95
2025-09-12,81.92
2025-09-11,81.93
2025-09-10,81.9
2025-09-09,81.89
2025-09-08,81.96
2025-09-05,81.91
2025-09-04,81.79
2025-09-03,81.73
2025-09-02,81.67
2025-08-29,81.71
2025-08-28,81.64
2025-08-27,81.67
2025-08-26,81.61
2025-08-25,81.54
2025-08-22,81.58
2025-08-21,81.41
2025-08-20,81.47
2025-08-19,81.44
2025-08-18,81.41
2025-08-15,81.41
2025-08-14,81.43
2025-08-13,81.52
2025-08-12,81.41
2025-08-11,81.36
2025-08-08,81.36
2025-08-07,81.38
2025-08-06,81.41
2025-08-05,81.39
2025-08-04,81.41
2025-08-01,81.4
2025-07-31,80.99
2025-07-30,80.99
2025-07-29,81.08
2025-07-28,81.01
2025-07-25,81.02
2025-07-24,80.97
2025-07-23,81.04
2025-07-22,81.11
2025-07-21,81.05
2025-07-18,81.0
2025-07-17,80.93
2025-07-16,80.96
2025-07-15,80.85
2025-07-14,80.93
2025-07-11,80.92
2025-07-10,80.94
2025-07-09,80.94
2025-07-08,80.87
2025-07-07,80.86
2025-07-03,80.88
2025-07-02,80.97
2025-07-01,80.98
2025-06-30,81.06
2025-06-27,81.0
2025-06-26,81.03
2025-06-25,80.93
2025-06-24,80.92
2025-06-23,80.85
2025-06-20,80.75
2025-06-18,80.69
2025-06-17,80.65
2025-06-16,80.61
2025-06-13,80.62
2025-06-12,80.68
2025-06-11,80.61
2025-06-10,80.48
2025-06-09,80.48
2025-06-06,80.42
2025-06-05,80.56
2025-06-04,80.65
2025-06-03,80.5
2025-06-02,80.52
2025-05-30,80.59
2025-05-29,80.49
2025-05-28,80.41
2025-05-27,80.46
2025-05-23,80.43
2025-05-22,80.39
2025-05-21,80.34
2025-05-20,80.39
2025-05-19,80.38
2025-05-16,80.35
2025-05-15,80.37
2025-05-14,80.21
2025-05-13,80.27
2025-05-12,80.29
2025-05-09,80.43
2025-05-08,80.4
2025-05-07,80.56
2025-05-06,80.53
2025-05-05,80.46
2025-05-02,80.47
2025-05-01,80.63
2025-04-30,80.8
2025-04-29,80.69
2025-04-28,80.64
2025-04-25,80.53
2025-04-24,80.46
2025-04-23,80.36
2025-04-22,80.42
2025-04-21,80.39
2025-04-17,80.44
2025-04-16,80.41
2025-04-15,80.3
2025-04-14,80.3
2025-04-11,80.13
2025-04-10,80.28
2025-04-09,80.28
2025-04-08,80.33
2025-04-07,80.38
2025-04-04,80.37
2025-04-03,80.42
2025-04-02,80.12
2025-04-01,80.18
2025-03-31,80.15
2025-03-28,80.09
2025-03-27,79.95
2025-03-26,79.91
2025-03-25,79.93
2025-03-24,79.9
2025-03-21,80.0
2025-03-20,79.96
2025-03-19,79.94
2025-03-18,79.82
2025-03-17,79.82
2025-03-14,79.85
2025-03-13,79.91
2025-03-12,79.85
2025-03-11,79.91
2025-03-10,79.96
2025-03-07,79.81
2025-03-06,79.82
2025-03-05,79.77
2025-03-04,79.86
2025-03-03,79.85
2025-02-28,79.8
2025-02-27,79.66
2025-02-26,79.63
2025-02-25,79.6
2025-02-24,79.49
2025-02-21,79.43
2025-02-20,79.3
2025-02-19,79.29
2025-02-18,79.23
2025-02-14,79.3
2025-02-13,79.19
2025-02-12,79.09
2025-02-11,79.19
2025-02-10,79.21
2025-02-07,79.17
2025-02-06,79.26
2025-02-05,79.29
2025-02-04,79.24
2025-02-03,79.16
2025-01-31,79.22
2025-01-30,79.21
2025-01-29,79.16
2025-01-28,79.21
2025-01-27,79.19
2025-01-24,79.08
2025-01-23,79.03
2025-01-22,79.03
2025-01-21,79.05
2025-01-17,79.02
2025-01-16,79.04
2025-01-15,78.99
2025-01-14,78.82
2025-01-13,78.8
2025-01-10,78.78
2025-01-08,78.92
2025-01-07,78.87
2025-01-06,78.92
2025-01-03,78.9
2025-01-02,78.9
2024-12-31,78.92
2024-12-30,78.87
2024-12-27,78.76
2024-12-26,78.74
2024-12-24,78.72
2024-12-23,78.68
2024-12-20,78.73
2024-12-19,78.72
2024-12-18,78.63
2024-12-17,78.78
2024-12-16,78.77
2024-12-13,78.76
2024-12-12,78.8
2024-12-11,78.84
2024-12-10,78.86
2024-12-09,78.87
2024-12-06,78.89
2024-12-05,78.82
2024-12-04,78.82
2024-12-03,78.73
2024-12-02,78.72
2024-11-29,78.73
2024-11-27,78.63
2024-11-26,78.59
2024-11-25,78.59
2024-11-22,78.43
2024-11-21,78.44
2024-11-20,78.46
2024-11-19,78.5
2024-11-18,78.5
2024-11-15,78.44
2024-11-14,78.36
2024-11-13,78.47
2024-11-12,78.36
2024-11-11,78.43
2024-11-08,78.49
2024-11-07,78.55
2024-11-06,78.41
2024-11-05,78.51
2024-11-04,78.53
2024-11-01,78.47
2024-10-31,78.5
2024-10-30,78.48
2024-10-29,78.55
2024-10-28,78.52
2024-10-25,78.56
2024-10-24,78.59
2024-10-23,78.55
2024-10-22,78.6
2024-10-21,78.6
2024-10-18,78.72
2024-10-17,78.65
2024-10-16,78.72
2024-10-15,78.67
2024-10-14,78.63
2024-10-11,78.67
2024-10-10,78.6
2024-10-09,78.54
2024-10-08,78.61
2024-10-07,78.55
2024-10-04,78.65
2024-10-03,78.92
2024-10-02,79.02
2024-10-01,79.04
2024-09-30,78.99
2024-09-27,79.1
2024-09-26,78.98
2024-09-25,79.06
2024-09-24,79.12
2024-09-23,79.05
2024-09-20,79.05
2024-09-19,79.02
2024-09-18,78.95
2024-09-17,78.98
2024-09-16,79.04
2024-09-13,78.99
2024-09-12,78.88
2024-09-11,78.87
2024-09-10,78.93
2024-09-09,78.82
2024-09-06,78.81
2024-09-05,78.67
2024-09-04,78.64
