period,asset1,asset2,n_obs,pearson_r,pearson_p,spearman_r,spearman_p
Daily,Gold,Bitcoin,3794,0.07273471750218125,7.305349441208907e-06,0.07460251742001708,4.223433222234013e-06
5-Day,Gold,Bitcoin,3790,0.08846908257280822,4.8884036686102776e-08,0.06041928081287659,0.0001978358607910928
21-Day,Gold,Bitcoin,3774,0.032214449684306715,0.04782898425328648,0.042488791479028044,0.00904037779784811
63-Day,Gold,Bitcoin,3732,-0.08158279584961368,6.020708066144036e-07,-0.04037176917501612,0.013644277182614847
Daily,Gold,Ethereum,3794,0.05721566690756754,0.0004219631239399259,0.06341515780830122,9.278152607255931e-05
5-Day,Gold,Ethereum,3790,0.11144593786867728,5.980136765842168e-12,0.08372062304937483,2.450395755355646e-07
21-Day,Gold,Ethereum,3774,0.11980256163678492,1.5361858366932338e-13,0.09805340470062082,1.5772833264164618e-09
63-Day,Gold,Ethereum,3732,0.17313465313369422,1.6735420795200553e-26,0.11031618495737064,1.402940417000409e-11
Daily,Silver,Bitcoin,3794,0.10598893281873256,5.960435198088055e-11,0.10046185019376544,5.587473447554932e-10
5-Day,Silver,Bitcoin,3790,0.11786029552475216,3.367565528285534e-13,0.10047306860303928,5.679702541923529e-10
21-Day,Silver,Bitcoin,3774,0.0853115142561733,1.5312015757213505e-07,0.08234595716111219,4.0694714979487563e-07
63-Day,Silver,Bitcoin,3732,-0.0003978893677951078,0.9806141438888942,0.02678959473523751,0.10177171876444457
Daily,Silver,Ethereum,3794,0.08646417279420354,9.605320406077443e-08,0.09130944318369542,1.759076309504047e-08
5-Day,Silver,Ethereum,3790,0.1139962102759413,1.942009912892567e-12,0.10002336709623698,6.777975236368294e-10
21-Day,Silver,Ethereum,3774,0.10281036928169317,2.441673300898056e-10,0.10414816463557756,1.4226237585161823e-10
63-Day,Silver,Ethereum,3732,0.06441784128430043,8.214156569706105e-05,0.15435152969008156,2.4690459481773954e-21
