,SPY,QQQ,IWM,EFA
2020-01-01,249.36667352871245,168.92981085460636,195.26059514847734,254.76714750132572
2020-01-02,252.07661250318898,164.86994126096565,190.89836326630993,246.60265044374736
2020-01-03,254.6042237799735,166.96224747885296,186.8550418281268,248.03518609116705
2020-01-04,261.7995876238464,162.77950436455478,188.067506553791,251.9580333502489
2020-01-05,257.17138785433457,163.62533997851924,187.95395471539786,256.19138185649854
2020-01-06,256.66193676860206,163.2265848085231,189.8804350255742,249.42391209294152
2020-01-07,246.66731848679512,162.12213665261189,183.81207717926893,251.65035314147715
2020-01-08,244.3702447046949,159.53777463386302,183.9403514638412,257.9101757165046
2020-01-09,246.4196721021615,162.5470545161992,191.83282297578927,259.81661211583554
2020-01-10,242.00354461305886,168.35340130880692,190.50507400006185,259.34576205126876
2020-01-11,242.51147029758175,169.4519138462863,193.77037219414726,265.45741141204644
2020-01-12,241.85991125308362,170.63367493606964,197.05718119422576,261.9275771904819
2020-01-13,242.0884404876476,168.40510131028321,200.5969996727309,254.16187938971788
2020-01-14,240.14604465912808,164.50656027959087,201.36741049928924,253.27083953886284
2020-01-15,237.7241361213505,164.45807449557648,203.76204604079427,256.1236490529065
2020-01-16,237.2848692853578,161.36690390755047,206.7340416955606,261.6320342610246
2020-01-17,238.46033291320845,155.82420423691855,209.4828899224787,264.55498664134547
2020-01-18,234.94312120781063,158.4275501791093,204.95566788698062,269.1491104777186
2020-01-19,235.7313335752175,161.23142059482845,198.17411478757418,274.9726858831129
2020-01-20,235.6858315221031,158.56489670639695,192.20727384801427,273.24920798317896
2020-01-21,241.2144763551116,159.42016099623845,191.26714986354176,272.5781719507372
2020-01-22,240.83006737213114,162.72835620258405,193.6494713174583,279.8262286011542
2020-01-23,238.43318232714205,163.4787182053612,189.5137251844466,273.2714593918504
2020-01-24,247.8551588234034,159.70362041460163,193.1449338139939,275.76479631010585
2020-01-25,238.12842910826373,159.04097235582992,191.3100396011505,271.9760847014066
2020-01-26,243.64167929324066,163.3994873777314,189.52865973065985,278.16636518128956
2020-01-27,247.59205968025572,164.29089031483727,186.47890296491903,278.20567019173757
2020-01-28,242.32032696441132,166.15502201496534,179.67009876981626,278.38708566847765
2020-01-29,247.98421126998852,167.37784548448144,180.58627966360635,288.32552513694634
2020-01-30,249.96663731052453,164.6206238808358,186.97258867770924,282.3279340067986
2020-01-31,248.16603030157972,162.67049845374757,186.83179704354114,283.6910152236352
2020-02-01,242.60208584477073,163.85861889592977,180.13311371064697,282.8122213750689
2020-02-02,245.4872106792784,166.64093564697373,183.05798387429675,285.9827158839643
2020-02-03,242.17383188740914,170.43253184139363,177.29357858410802,297.3821436673511
2020-02-04,235.70876486987362,167.61629348831482,173.14446549351533,293.95102168629063
2020-02-05,234.16702967701207,169.15912002002798,172.4072728489367,287.13865176892097
2020-02-06,232.13180802997505,173.30979104143648,172.91781295796147,282.6695811650492
2020-02-07,232.55772969449455,170.00690559330224,169.54919691379945,281.49714238748993
2020-02-08,231.8551401463012,175.22554980293006,168.695752407244,281.99995541230186
2020-02-09,237.6099909762728,181.15496344831382,171.21157268289588,282.787996729279
2020-02-10,241.07271621044393,191.0154936642397,174.2417384676024,293.31605327083116
2020-02-11,240.3667875796325,191.99574536677918,178.74724430903024,303.1559891330909
2020-02-12,236.1630146665666,193.00222276573615,185.79819991671542,311.3153602296918
2020-02-13,241.96541947518952,196.3191386634428,188.9266651119216,327.53508895118824
2020-02-14,245.91979930853714,199.57650509474038,188.20356963116316,333.14477668085186
2020-02-15,259.465998106867,204.22554262548246,191.5617996267968,340.7824380129525
2020-02-16,260.96737156204387,207.55692675084376,193.4549743500762,346.48505015837566
2020-02-17,269.8134538806733,207.22070016185086,195.52184928836047,351.13044011466394
2020-02-18,272.44782684660504,212.45375731980675,196.31421433563602,354.0880847548705
2020-02-19,273.0529149590206,208.05433448560373,192.86210041546835,351.4644500416424
2020-02-20,265.06271502206835,208.1827533494439,189.03146822557574,342.98029732591294
2020-02-21,269.04980406681216,214.90391647728248,188.75901257422484,342.2563179145167
2020-02-22,264.68173632854746,209.70171121394552,189.41669757552913,346.32422332820954
2020-02-23,262.10930230109733,206.9829835947401,186.95361141570447,346.9985620365024
2020-02-24,262.01214694444224,209.88747018883984,188.63753278757912,339.8532551927614
2020-02-25,260.7037869362504,211.65334480532425,196.75172915295164,338.89701174757715
2020-02-26,252.8062818295089,208.08554353786343,190.10110485644822,337.5913717887862
2020-02-27,248.93974796269964,206.46385940753825,192.423938506462,337.3392538817559
2020-02-28,253.74316122256596,201.74605253870592,192.26631314306604,340.83804361023726
2020-02-29,257.3347913836495,205.8441730103734,194.1040915775068,345.85948497234415
2020-03-01,261.08518477561677,204.89585254791294,192.53544673961537,342.58902493867583
2020-03-02,262.1242882201054,212.4793765037919,192.06984424391985,349.552573241952
2020-03-03,265.7522447590952,212.93073750355504,192.6642596967259,357.73294234019386
2020-03-04,267.17046685616816,212.1030265082846,191.6012537952621,360.21201028692224
2020-03-05,266.406358216084,210.8687064512145,185.955162529639,365.2155696435478
2020-03-06,272.8216209386618,209.94628216706988,185.1798069225013,372.66221139299796
2020-03-07,271.61978108646554,210.51736013952734,180.0975430251726,364.7526734317215
2020-03-08,267.60442640635245,221.47645197868948,182.55700346751675,372.7150339333463
2020-03-09,274.30848097862173,220.09055577560505,175.95909794641122,367.05544983647167
2020-03-10,281.30043226978046,218.8555689215555,179.70644483995937,362.1863626778897
2020-03-11,272.71850511999776,219.25246773162516,181.3476518703877,363.79287346575876
2020-03-12,276.3585744519323,224.19795216883057,183.01785015326658,348.69718270472833
2020-03-13,265.41927483659794,218.02498916714814,175.35237004004307,350.0991080963574
2020-03-14,271.29325636043325,220.12851616144025,174.2908584245077,357.22002173751935
2020-03-15,266.4069710091342,216.66730852592573,178.44791614871133,345.8251921537191
2020-03-16,270.75362364682456,219.18771097314595,176.69491702439808,353.6167179408178
2020-03-17,267.57817171099845,217.14238524663142,173.01241756948815,348.8834305487408
2020-03-18,269.50032685007756,207.4667829694269,170.90878068449598,350.5050422083159
2020-03-19,262.291180518468,209.11049507608925,170.76091417251436,346.81919836778496
2020-03-20,260.9526926903184,210.7316856429162,167.96187286606346,350.9914877235841
2020-03-21,260.7710427690981,208.4093315675535,172.24421958836055,358.4398712409517
2020-03-22,265.96541110565784,205.86841629928264,172.10762372480633,363.2898970783903
2020-03-23,275.8209390868414,200.63949778328504,170.29097873871837,363.4426479033512
2020-03-24,279.18249574059837,203.86780176103127,165.99899646842488,360.18017788192765
2020-03-25,280.9898881778843,207.60060568552248,167.69899485008935,359.8611849667435
2020-03-26,275.40875285999533,204.0846892634457,169.33923335773014,364.79581608639404
2020-03-27,267.8385674832882,201.99367033873614,166.76069536244253,370.05184485666797
2020-03-28,268.9945659803945,201.83904634820138,159.54615322454106,374.33819319590634
2020-03-29,269.860795863734,211.32302461423154,160.9427136886591,365.040423902829
2020-03-30,273.29944123242143,213.74641165632607,160.4227339498137,365.0548618405638
2020-03-31,277.3187799509082,209.8560899402848,161.58540745411696,360.63958114023956
2020-04-01,279.46753784688804,211.24056784644029,168.11988603785437,365.6503868934939
2020-04-02,271.5229821205205,205.60642542917364,168.1137267635712,360.2788138993691
2020-04-03,276.552139807071,208.68451029637225,166.4781256086281,363.7327118908506
2020-04-04,276.1085902396187,215.90414569299512,162.78291180405895,361.8665634766249
2020-04-05,271.01855911164597,223.39251316842532,161.84984907633898,348.6936039749291
2020-04-06,268.9141032010535,226.81353382443308,162.45167856522016,355.4244811590663
2020-04-07,261.62631107293026,224.29451691376843,162.70630134010972,355.4224394512911
2020-04-08,259.96202981953854,218.64337126960632,168.4966806322475,364.7917337338348
2020-04-09,264.026981059456,212.711728111959,170.27210267095722,353.01848346354785
2020-04-10,262.43378307072595,201.20283281330828,169.89859243322488,351.1417508198769
2020-04-11,258.0792824816944,204.11644360328762,167.59838171936718,349.80011873158185
2020-04-12,256.87848143381785,203.79894060603127,168.57891655589225,351.87149145156553
2020-04-13,259.38728416356406,207.6425820072401,165.63123221442598,342.8394568467108
2020-04-14,252.60688119887945,213.76534091517752,166.31115243345846,346.7635164722069
2020-04-15,247.63428371039177,214.3000180019338,168.02431895738223,360.45830348081967
2020-04-16,248.38829816410393,215.03401365840244,167.38217655098006,364.0776008063149
2020-04-17,242.37942389085393,213.15291347689578,165.36810877781645,364.93690731871305
2020-04-18,252.12038153306463,211.78849751291636,158.3753762521141,355.197983436392
2020-04-19,251.47408658725297,215.00419115745706,162.12128839071227,349.9150502905985
2020-04-20,247.07704332427696,214.3628245244285,163.5159855777484,349.69925495884604
2020-04-21,243.19245388624864,213.10603692004398,165.00290871277082,346.1866166489242
2020-04-22,240.97439128281175,213.13452317574433,160.00995876720722,353.5422907884901
2020-04-23,238.36285193739658,217.0548603981333,164.56947633570473,357.5149490126526
2020-04-24,228.71166541930506,214.17574221973229,163.12691088637771,377.48270324951653
2020-04-25,234.68329347606738,213.9979280521423,162.26853497608124,370.3348438271135
2020-04-26,234.7279657494194,215.15783815336002,158.91458380399243,370.76553138170334
2020-04-27,234.71680964978182,220.31896291711044,153.41212606386134,360.8275071030075
2020-04-28,238.70707971988034,219.3767107031869,157.0830836661516,345.31298511034555
2020-04-29,233.8418665653362,216.3578878050422,161.25820015988688,350.51574555112626
2020-04-30,230.4372429699905,214.37926347671026,160.80561013902306,354.1915739972148
2020-05-01,232.67133388437367,219.05171737206115,158.71474806238496,348.3633790110492
2020-05-02,232.4881631507933,228.2574047367582,157.60118087883595,349.18669432676353
2020-05-03,234.21449932331905,222.44920958473554,156.58130102881975,344.99204816149705
2020-05-04,233.9565963679001,217.73805804323007,152.9449688598745,341.7697343280253
2020-05-05,232.94631281508683,217.1127569752744,152.1296429898746,339.7572957254498
2020-05-06,239.8415074721641,217.70391638519405,152.67250110903367,333.88620223774933
2020-05-07,245.1313511026849,221.26815769888785,155.89118885528535,329.2993530840291
2020-05-08,233.2985610029446,217.46821220022287,156.01359327326665,324.95883604438205
2020-05-09,240.4291814170507,212.9996469744508,151.2472788451238,327.88275588664
2020-05-10,251.16250318399054,213.69553137642419,152.39671119074393,310.34099890629426
2020-05-11,257.55562603783994,212.70032219042872,151.69447295951738,309.0858605533404
2020-05-12,256.5822383458666,216.78772672697045,155.98762006655323,302.5859794396336
2020-05-13,253.19636814489027,219.02061394485952,160.5918096218589,296.43690987520256
2020-05-14,257.03750513645224,221.57772701056246,165.44765947339008,293.48347822403036
2020-05-15,254.0016140240693,221.22578089478674,163.68160847950924,293.5460572748207
2020-05-16,255.94531747034807,232.0134671832787,170.41220383798932,292.43613881528245
2020-05-17,255.96128448052588,228.27258396184743,171.69833671457,286.42167234009804
2020-05-18,262.40450078375784,231.19387754216658,177.46380787147476,290.73117244564355
2020-05-19,260.49874637814844,225.5096282763057,175.77667487087103,285.6727584316307
2020-05-20,258.33107582775335,220.8300722541768,174.81746314041905,281.64652557986295
2020-05-21,260.4228182570547,218.27300372276392,175.86609978936207,283.3952779652242
2020-05-22,270.82783674356637,225.61568810741898,176.48933701337677,285.3595706101092
2020-05-23,271.4024423252807,226.92304366208754,181.0651117306505,282.0307318230518
2020-05-24,269.2858942360129,224.37110144757426,180.31658535457518,266.07887902056143
2020-05-25,274.08100026582247,226.17071957342776,184.65817501175934,261.53888827016937
2020-05-26,278.18496932012874,226.44295707814152,187.47604991660612,262.51828808165914
2020-05-27,273.07782141529214,224.3379456103156,186.770998433262,266.2918558027575
2020-05-28,270.30031338771363,218.2674233434524,189.32721065705394,266.0028376044381
2020-05-29,276.43181489738197,224.7507191820761,187.63742129138768,263.5985377728886
2020-05-30,278.94773837933167,225.80871246361792,196.7660789129444,276.10782938125
2020-05-31,265.63693470861864,235.96016615732142,186.64883432447715,274.1956090031618
2020-06-01,268.3440838854077,240.55997523217678,189.27250919405364,277.7125002737136
